Epoch gpu_mem box obj cls total labels img_size P R mAP@.5 mAP@.5:.95 val_loss(box) val_loss(obj) val_loss(cls)
    89/299     19.4G   0.02268   0.02719 0.0003181   0.05019        83      1280    0.9513    0.9312    0.9526    0.7309   0.01992   0.04518  0.002301
    90/299     19.4G   0.02187   0.02608 0.0002799   0.04822       173      1280    0.9545    0.9314    0.9525    0.7324    0.0199   0.04513    0.0023
    91/299     19.4G    0.0219   0.02629 0.0002906   0.04848       113      1280    0.9522    0.9422    0.9557    0.7333   0.01981   0.04541  0.002321
    92/299     19.4G   0.02159   0.02533 0.0002912   0.04721        85      1280    0.9526    0.9387    0.9539    0.7357   0.01978   0.04555  0.002346
    93/299     19.4G   0.02138   0.02571  0.000286   0.04738        23      1280    0.9649     0.931    0.9541    0.7385   0.01975    0.0455  0.002343
    94/299     19.4G   0.02129   0.02544 0.0002774   0.04701        94      1280    0.9517    0.9367     0.954    0.7364   0.01967   0.04544  0.002344
    95/299     19.4G   0.02128   0.02508 0.0002917   0.04665        43      1280    0.9426    0.9502    0.9577    0.7366   0.01962   0.04535   0.00234
    96/299     19.4G   0.02151   0.02568 0.0002821   0.04747        47      1280    0.9594    0.9353    0.9566     0.739    0.0196   0.04533  0.002341
    97/299     19.4G   0.02146   0.02574 0.0002953   0.04749        43      1280    0.9597    0.9367    0.9559    0.7412   0.01956   0.04551  0.002344
    98/299     19.4G   0.02144   0.02543 0.0002786   0.04714       102      1280    0.9597    0.9412    0.9565    0.7405   0.01955   0.04554   0.00235
    99/299     19.4G   0.02127   0.02564 0.0002777   0.04719       124      1280    0.9567    0.9357    0.9544    0.7406   0.01952   0.04566  0.002348
   100/299     19.4G    0.0211   0.02489 0.0002672   0.04627        45      1280    0.9646    0.9355    0.9579    0.7411   0.01947   0.04563  0.002354
   101/299     19.4G   0.02114    0.0255   0.00028   0.04692       104      1280    0.9637    0.9342    0.9574    0.7418   0.01941    0.0457  0.002358
   102/299     19.4G    0.0213    0.0256 0.0003091    0.0472        48      1280    0.9626    0.9339    0.9564    0.7424   0.01936   0.04566  0.002354
   103/299     19.4G   0.02109    0.0252  0.000293   0.04658        77      1280    0.9617    0.9354     0.958    0.7414   0.01933   0.04559  0.002351
   104/299     19.4G   0.02116   0.02534  0.000288   0.04679       100      1280    0.9601    0.9327    0.9575    0.7457    0.0193   0.04555  0.002347
   105/299     19.4G    0.0214   0.02608 0.0002977   0.04777        31      1280    0.9527    0.9403    0.9577    0.7471   0.01928   0.04552  0.002342
   106/299     19.4G   0.02121   0.02542 0.0002876   0.04691        77      1280    0.9587    0.9388     0.958    0.7459   0.01924   0.04548  0.002336
   107/299     19.4G   0.02104   0.02534 0.0002864   0.04667        94      1280    0.9605    0.9378    0.9588    0.7468    0.0192    0.0455  0.002326
   108/299     19.4G   0.02103   0.02521 0.0002935   0.04654        54      1280     0.965    0.9332    0.9579    0.7473   0.01917   0.04553  0.002327
   109/299     19.4G   0.02115   0.02539  0.000277   0.04681       115      1280    0.9636    0.9342    0.9586      0.75   0.01913    0.0456  0.002328
   110/299     19.4G   0.02102   0.02502 0.0002756   0.04631        93      1280    0.9654    0.9334    0.9601    0.7504   0.01912   0.04568  0.002331
   111/299     19.4G   0.02133   0.02592 0.0002776   0.04752        83      1280    0.9655    0.9364    0.9609    0.7509   0.01909   0.04574  0.002331
   112/299     19.4G   0.02133   0.02588 0.0002796   0.04749        83      1280    0.9673    0.9362     0.962    0.7522   0.01905   0.04578  0.002328
   113/299     19.4G   0.02133   0.02585 0.0003083   0.04749        55      1280    0.9655    0.9372     0.961    0.7525   0.01903   0.04584  0.002321
   114/299     19.4G   0.02125   0.02587 0.0002971   0.04742       166      1280    0.9676    0.9371    0.9625    0.7535   0.01901   0.04582  0.002325
   115/299     19.4G   0.02068   0.02489 0.0002618   0.04583       173      1280    0.9683    0.9375    0.9633    0.7535   0.01901   0.04583  0.002328
   116/299     19.4G   0.02069   0.02515 0.0002655    0.0461       113      1280    0.9577     0.945    0.9623    0.7542     0.019   0.04584  0.002327
   117/299     19.4G   0.02047    0.0244 0.0002591   0.04513        85      1280    0.9576    0.9464    0.9624    0.7553   0.01897    0.0458  0.002327
   118/299     19.4G    0.0205   0.02502 0.0002697   0.04579        23      1280    0.9623    0.9463    0.9629     0.755   0.01894   0.04573  0.002325
   119/299     19.4G    0.0205   0.02481 0.0002607   0.04557        94      1280    0.9604    0.9455    0.9613    0.7554   0.01892   0.04577  0.002326
   120/299     19.4G   0.02032   0.02422 0.0002675   0.04481        43      1280    0.9581    0.9441    0.9595    0.7547   0.01891   0.04571  0.002323
   121/299     19.4G   0.02039   0.02471 0.0002611   0.04537        47      1280    0.9582    0.9427    0.9591    0.7563   0.01889    0.0457  0.002324
   122/299     19.4G   0.02034   0.02477 0.0002517   0.04536        43      1280    0.9678    0.9393    0.9597    0.7564   0.01886   0.04574  0.002324
   123/299     19.4G   0.02115    0.0254 0.0002607   0.04682       102      1280    0.9683    0.9382    0.9601    0.7564   0.01882   0.04567  0.002319
   124/299     19.4G   0.02055   0.02519 0.0002622     0.046       124      1280    0.9658    0.9431    0.9637    0.7568   0.01882   0.04562  0.002311
   125/299     19.4G   0.02036   0.02423 0.0002534   0.04484        45      1280    0.9661    0.9433    0.9629    0.7568   0.01881   0.04558  0.002312
   126/299     19.4G   0.02013   0.02469 0.0002443   0.04507       104      1280    0.9644    0.9451    0.9631     0.756    0.0188   0.04558  0.002312
   127/299     19.4G   0.02027   0.02471 0.0002586   0.04524        48      1280    0.9677    0.9466    0.9639    0.7572   0.01879   0.04557  0.002315
   128/299     19.4G   0.02019    0.0244  0.000262   0.04485        77      1280    0.9704    0.9434    0.9639    0.7578   0.01877    0.0456  0.002315
   129/299     19.4G   0.01999   0.02421 0.0002589   0.04446       100      1280      0.97    0.9422    0.9631     0.759   0.01875   0.04562  0.002317
   130/299     19.4G   0.02026   0.02499 0.0002562    0.0455        31      1280    0.9689    0.9422    0.9634    0.7591   0.01873   0.04561  0.002316
   131/299     19.4G   0.01993   0.02433 0.0002569   0.04452        77      1280    0.9649    0.9438    0.9632    0.7591   0.01871   0.04564  0.002319
   132/299     19.4G   0.01987   0.02437 0.0002553    0.0445        94      1280    0.9677    0.9412    0.9629    0.7589    0.0187   0.04569  0.002323
   133/299     19.4G   0.01997   0.02425 0.0002582   0.04447        54      1280    0.9647    0.9447    0.9629    0.7595   0.01868   0.04567  0.002326
   134/299     19.4G   0.01994   0.02443 0.0002415   0.04461       115      1280    0.9648    0.9439     0.963     0.761   0.01867   0.04571   0.00233
   135/299     19.4G   0.01986     0.024 0.0002489   0.04411        93      1280    0.9655    0.9438    0.9631    0.7607   0.01865   0.04571  0.002331
   136/299     19.4G   0.02019   0.02492 0.0002546   0.04537        83      1280    0.9628    0.9446    0.9633    0.7613   0.01862   0.04573  0.002332
